"Tilda UID",Brand,SKU,Category,Title,Description,Text,Photo,Price,Quantity,"Price Old",Editions,Modifications,"External ID","Parent UID","SEO title","SEO descr","FB title","FB descr"
226273420010,,S06/42787,"Все HIDROMEK","Рулевая Тяга HIDROMEK 102B","Номер SRR (заводской номер): 90HD420<br />Вес: 4,5 кг","Каталожный номер: S0642787 (в состав входят: шарнирное соединение и рулевой наконечник). S0642787 ; S06/42787.<br />Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.<br />Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники.<br /><br />Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!<br /><br /><br />",https://static.tildacdn.com/tild6138-3034-4334-b663-643064616131/photo_2020-02-03_22-.jpeg,6600.0000,,,,,nYC4UleZ6YV4sOOK62i4,,"S0642787 ; S06/42787 Рулевая Тяга HIDROMEK 102B","Каталожный номер: S0642787 (в состав входят: шарнирное соединение и рулевой наконечник). Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
238403592703,,S06/44072,"Все HIDROMEK","Рулевая Тяга HIDROMEK 102B","Номер SRR (заводской номер): 90HD410 <br />Вес: 4,6 кг<br />","<br />S0644072 ; S06/44072 Рулевая Тяга HIDROMEK 102B<br />Каталожный номер: S0644072 (в комплект входит: шарнирное соединение и рулевой наконечник).<br />Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.<br />Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники.<br /><br />Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!<br />",https://static.tildacdn.com/tild3266-3933-4934-b065-656366373433/photo_2020-02-03_22-.jpeg,6600.0000,,,,,zLXi7CUCa5D0M8Ukcyhs,,"S0644072 ; S06/44072 Рулевая Тяга HIDROMEK 102B","Каталожный номер: S0644072 (в комплект входит: шарнирное соединение и рулевой наконечник). Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
140863541639,,S06/41775,"Все HIDROMEK","Рулевая тяга HIDROMEK","Вес: 6,9 кг <br />  <br />","S0641775 ; S06/41775 Рулевая тяга HIDROMEK.<br />Каталожный номер: S0641775 (в комплект входят шарнирное соединение и рулевой наконечник).<br /> Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. <br />Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO. <br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники. <br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />Кросс-номера:<br />147309, S0641775",https://static.tildacdn.com/tild3237-3439-4836-b435-303962353836/photo_2020-02-03_22-.jpeg,7500.0000,,,,,zcAgz81bSfgPaT2CuL5Y,,"S0641775 ; S06/41775 Рулевая тяга HIDROMEK​","Каталожный номер: S0641775 (в комплект входят шарнирное соединение и рулевой наконечник).  Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.  Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
536146810176,,147310,"Все HIDROMEK","147310 Рулевая Тяга HIDROMEK 102S","147310 Рулевая Тяга HIDROMEK (Гидромек) 102S <br />","В комплект входят шарнирное соединение и рулевой наконечник.<br />Рулевые тяги, представленные на нашем сайте, изготавливает компания CARRARO DİFRANSİYEL. Carraro выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники.<br />Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!<br />",https://static.tildacdn.com/tild3931-3866-4535-b433-363730353033/___.png,7500.0000,,,,,5P1CMkFoX5gXnmVEPvBA,,"147310 Рулевая Тяга HİDROMEK (Гидромек) 102S","В комплект входят шарнирное соединение и рулевой наконечник. Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
582138997853,,S06/41780,"Все HIDROMEK","147310 Рулевая Тяга HIDROMEK 102S","Номер SRR (заводской номер): 90HD406 <br />  Вес: 6,9 кг <br />","Каталожный номер: S0641780 (В состав входят: шарнирное соединение и рулевой наконечник).<br />Кросс-номера:<br />147310, S0641780.<br /> Наша компания ООО «Джи Си Би Евро» занимается продажей запчастей в розницу и оптом для спецтехники известных мировых брендов: JCB, TEREX, CAT, Volvo, MST, HIDROMEK, KOMATSU, MANITOU, CASE, LIEBHERR. <br />Мы предоставляем качественный сервис по продаже и подбору оригинальных и аналоговых запасных деталей для экскаваторов-погрузчиков и спецтехники. <br /><br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild6461-3062-4637-b666-323935393763/photo_2020-02-03_22-.jpeg,7500.0000,,,,,fZ42rOmDsCAhP4mZXUEh,,"147310 Рулевая Тяга HİDROMEK 102S","Каталожный номер: S0641780 (В состав входят: шарнирное соединение и рулевой наконечник). Кросс-номера: 147310, S0641780.  Наша компания ООО «Джи Си Би Евро» занимается продажей запчастей в розницу и оптом для спецтехники известных мировых брендов: JCB, TEREX, CAT, Volvo, MST, HIDROMEK, KOMATSU, MANITOU, CASE, LIEBHERR.",,
161321326301,,145481,"Все KOMATSU","Рулевая тяга для Komatsu WB98 (145481)","Номер SRR (заводской номер): 90КМ420 <br />  Вес: 4,5 кг<br /> <br />","Номер в каталоге: 145481 (в комплекте: шарнирное соединение 350878 и рулевой наконечник 351144)<br />Кросс-номера:<br />11988150, VOE11988150, S06/41581, 6112445M91, CA0145481, 1-33-743-621, 11359750, 700544A1, 68978.<br /><br />Наша компания предоставляет высококлассный сервис услуг по продаже и подбору специальных деталей, также мы гарантируем своевременную доставку товара.<br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники. <br />Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild6661-3262-4338-b565-323462666436/photo_2020-02-03_22-.jpeg,4500.0000,,,,,7HCDavOGJZVzoyYnZ1N0,,"Рулевая тяга для Komatsu WB98 (145481)","Номер в каталоге: 145481 (в комплекте: шарнирное соединение 350878 и рулевой наконечник 351144) Кросс-номера: 11988150, VOE11988150, S06/41581, 6112445M91, CA0145481, 1-33-743-621, 11359750, 700544A1, 68978.Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!",,
475013873316,,140265,"Все KOMATSU","Рулевая тяга для WB93R Backhoe&amp;loader (140265)","Номер SRR (заводской номер): 90КМ430<br />Вес: 4,5 кг<br />","Рулевая тяга для WB93R Backhoe&amp;loader.<br />Номер в каталоге: 140265 (в комплект входят: шарнирное соединение 350878 и рулевой наконечник 351887).<br />Кросс-номера:<br />CA0140265, RI-661064.<br /> Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. <br />Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO. <br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild3939-6565-4232-a562-306639653461/photo_2020-02-03_22-.jpeg,4500.0000,,,,,9JZeTinmKLfMvEjDot2M,,"Рулевая тяга для WB93R Backhoe&amp;loader​ (140265)","Номер в каталоге: 140265 (в комплект входят: шарнирное соединение 350878 и рулевой наконечник 351887). Кросс-номера: CA0140265, RI-661064.  Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.",,
610716958300,,140921,"Все KOMATSU","Рулевая тяга переднего моста Komatsu WB 97S (140921)","Номер SRR (заводской номер): 90CS340<br />Вес: 5,65 кг","Рулевая тяга переднего моста Komatsu WB 97S (140921)<br /><br />Каталожный номер: 140921 (в комплект входит: шарнирное соединение 351504 и рулевой наконечник 351968)<br /><br />Если техника вышла из строя или внезапно наступил момент полного износа детали, важно срочно разрешить подобную проблему. Для этого и существует наша компания, которая в любой момент готова предоставить все необходимые детали. <br /> <br />Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники. <br /><br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild6132-3734-4165-b062-316461626565/___.png,4500.0000,,,,,fKYkd7vEIhTyAoesoOxM,,"Рулевая тяга переднего моста Komatsu WB 97S (140921)","Каталожный номер: 140921 (в комплект входит: шарнирное соединение 351504 и рулевой наконечник 351968). Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники.   Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка",,
146517447322,," B0650787","Все LIEBHERR","Рулевая тяга для Liebherr 904 90LB504","Номер SRR (заводской номер): 90LB504<br />Вес: 5 кг","Рулевая тяга для Liebherr 904 <br />Каталожный номер: B0650787<br />В комплект входит: шарнирное соединение и рулевой наконечник.<br />Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.<br /><br />Компания SRR и Carraro выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br />Все детали, выпущенные итальянской фирмой Carraro турецким заводом SRR долговечны и надёжны. Мы никогда не подводим своих клиентов и заботимся об их удобстве.<br />Если техника вышла из строя или внезапно наступил момент полного износа детали, важно срочно разрешить подобную проблему, так как это чревато рабочим простоем. Для этого и существует наша компания, которая в любой момент готова предоставить все необходимые запчасти, чтобы вернуть работоспособность вашей технике.<br />Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!<br />",https://static.tildacdn.com/tild6363-3130-4732-b035-656436643439/photo_2020-02-03_23-.jpeg,16990.0000,,,,,aZFTYZKZGz0KUaniXTZJ,,"Рулевая тяга для Liebherr 904","Каталожный номер: B0650787. В комплект входит: шарнирное соединение и рулевой наконечник. Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.  Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
149697706656,,B0651787,"Все LIEBHERR","Рулевая тяга для Liebherr 902 90LB510","Номер SRR (заводской номер): 90LB510<br />  Вес: 5 кг<br />","<br />Рулевая тяга для Liebherr 902<br />Каталожный номер: B0651787<br /><br /> Если техника вышла из строя или внезапно наступил момент полного износа детали, важно срочно разрешить подобную проблему, так как это чревато необратимыми последствиями. Для этого и существует наша компания, которая в любой момент готова предоставить все необходимые запчасти, чтобы вернуть работоспособность вашей технике. <br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild6137-6434-4965-b539-336265636635/photo_2020-02-03_23-.jpeg,12690.0000,,16990,,,Tba7VhB7LTiOnuLMvs2c,,"Рулевая тяга для Liebherr 902​.","Рулевая тяга для Liebherr 902​. Каталожный номер: B0651787. Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! ​",,
